channel_id,title,subscriber_count,total_views,video_count,country,niche,channel_age_months,avg_views,median_views,std_views,total_video_views,avg_likes,total_likes,avg_comments,total_comments,avg_engagement_rate,median_engagement_rate,er_stability,videos_collected,view_stability,view_consistency,posts_per_week,subscriber_view_ratio,size_band,er_band,match_quality,roi_band
UCLgQ26KnBknfgcYia5d9HYA,Psychiatry Clinic,81400,6366876,359,PK,health,79.56666666666666,577.0333333333333,319,588.7763748,17311,16.066666666666666,482,1.7,51,0.037593501,0.031822381252657975,0.015612449717937425,30,1.0185855051293686,0.5333333333333333,1.8103448275862066,0.007088775,micro,medium,1,1
UCcRgZlgsk5m-aDQa_d6BTkQ,Social Security Disability Videos,81300,14422472,632,US,health,143.5,1352,1163,907.1389278841243,40560,43.06666666666667,1292,3.5,105,0.038992993,0.036850409,0.020257128,30,0.6704648395300253,0.8666666666666667,8.4,0.016629562,micro,medium,1,1
UC4dfPr99Li48s01eQludDZg,We Talk Menopause,80200,9323829,1282,GB,health,187.96666666666667,1900.5666666666666,1600,1617.3332815712909,57017,105.83333333333333,3175,19.733333333333334,592,0.069357819,0.066436423,0.030270501720408658,30,0.8505267314168795,0.8333333333333334,2,0.023697543255902877,micro,high,1,2
UCXg6YK1IDwa1oRL0AQLFgoA,Healthcare Tutorials,79900,9238983,170,IN,health,0,17385.866666666665,2808.5,55822.820118492855,521576,261.3,7839,13.033333333333333,391,0.037141585,0.034485356,0.019520810270082675,30,3.2106314029263197,0.2,0.24504084014002334,0.21759260418100732,micro,medium,0,1
UCUpOvIIWABhYKqxrls-vcVg,Dr. Omar Danoun,77800,8428946,630,US,health,176.5,4064.1666666666665,3017,3502.240328145965,121925,104.76666666666667,3143,20.8,624,0.033280927,0.026947305,0.01809378,30,0.861524413,0.8666666666666667,2,0.052237975,micro,medium,1,1
UCeOVlablXiob00hPnr4bghA,Mike Mandel Hypnosis,77000,6872484,1635,CA,health,180.23333333333332,856.7666666666667,784.5,456.4304292897322,25703,33.9,1017,3.466666666666667,104,0.055989358301944195,0.047001279,0.037656091,30,0.5321149061008031,0.8,10,0.011126695324303148,micro,high,1,2
UCQrgetn1CTBp3aa3xzbeXJw,Yale Medicine,75000,10197589,590,US,health,115.26666666666667,284.1333333333333,199,250.9082444,8524,8.933333333333334,268,0.26666666666666666,8,0.040036314,0.037037037037037035,0.024132374140850774,30,0.8799681240482546,0.6333333333333333,1.4285714285714286,0.003788394,micro,medium,1,1
UCAW4errJTLCXfidRJd9wxUA,Kari Anne Wright,74600,7393693,357,CA,health,115.23333333333333,8980.5,6604.5,9941.892082981749,269415,829.5,24885,231.4,6942,0.14523618866106494,0.1487655668772404,0.037512361,30,1.1069300320638813,0.8,1.0824742268041236,0.12038042385490812,micro,high,1,2
UCXi0dQQOfKJl6s2o0KtWQdg,Diabetech,72800,8991071,601,US,health,0,7532.633333333333,7826.5,3712.666793962058,225979,256.3666666666667,7691,33.93333333333333,1018,0.040500958,0.037740132,0.014683987168939717,30,0.4928122500381035,0.8,4.468085106382978,0.10346881682028176,micro,medium,1,1
UC5rhde2RHYNSF8aYKO-OHlw,Think Fast Talk Smart,70700,1866226,384,US,health,172.83333333333334,875.1666666666666,923.5,487.0486829,26255,17.366666666666667,521,0.7,21,0.019749972624037087,0.020185925,0.010700339075267871,30,0.5558858850214412,0.7666666666666667,5.675675675675675,0.012378419918624442,micro,low,1,1
